ruc,razon_social,segmento,primera_fecha,ultima_fecha,meses_activo,estado,activo_M_Apr2026,patrimonio_M_Apr2026,cartera_M_Apr2026,depositos_M_Apr2026,capitalizacion_pct,morosidad_pct,cobertura_pct,roa_pct,roe_pct,nim_pct,liquidez_ampliada_pct,eficiencia_op_pct,apalancamiento,intermediacion,sc_C,sc_A,sc_M,sc_E,sc_L,camel,rating_camel
1891737439001,COOPERATIVA DE AHORRO Y CREDITO PUSHAK RUNA LTDA,SEGMENTO 3,2018-05-31,2026-04-30,96,ACTIVA,42.92,3.26,30.76,38.82,7.59,14.87,74.6,0.01,0.15,1.88,19.03,2.09,12.17,79.25,4.0,5.0,1.0,3.0,3.0,3.35,ADECUADO
1891742319001,COOPERATIVA DE AHORRO Y CREDITO RHUMY WARA,SEGMENTO 3,2022-06-30,2026-04-30,47,ACTIVA,22.45,3.21,17.37,12.22,14.28,4.27,105.53,0.15,1.04,1.93,33.28,1.66,5.99,142.11,2.0,3.0,1.0,3.0,1.0,2.05,BUENO
1091761439001,COOPERATIVA DE AHORRO Y CREDITO RURAL SIERRA NORTE,SEGMENTO 3,2023-06-30,2026-04-30,35,ACTIVA,17.66,2.39,13.68,11.46,13.54,7.13,106.16,0.28,2.03,2.88,27.43,2.2,6.36,119.39,2.0,3.5,1.0,3.0,1.0,2.175,BUENO
0290034337001,COOPERATIVA DE AHORRO Y CREDITO SALINAS LIMITADA,SEGMENTO 3,2015-02-28,2026-04-30,135,ACTIVA,13.88,2.05,8.08,11.52,14.75,6.67,105.28,0.1,0.7,2.23,42.96,1.87,5.77,70.18,2.0,3.5,1.0,3.0,1.0,2.175,BUENO
0990858527001,COOPERATIVA DE AHORRO Y CREDITO SALITRE LTDA,SEGMENTO 3,2015-02-28,2026-04-30,135,ACTIVA,10.1,1.57,5.18,8.03,15.54,20.17,108.83,-0.24,-1.52,3.16,43.8,2.93,5.45,64.49,1.0,4.0,1.0,4.0,1.0,2.2,BUENO
1891711278001,COOPERATIVA DE AHORRO Y CREDITO SAN ALFONSO LTDA,SEGMENTO 3,2018-05-31,2018-11-30,7,ACTIVA,,,,,,,,,,,,,,,,,,,,,
1790100294001,COOPERATIVA DE AHORRO Y CREDITO SAN CRISTOBAL LTDA,SEGMENTO 3,2015-02-28,2026-04-30,135,ACTIVA,13.67,2.53,9.11,10.67,18.52,1.23,381.05,0.51,2.74,1.98,37.63,1.55,4.37,85.34,1.0,1.0,1.0,3.0,1.0,1.3,EXCELENTE
0690069334001,COOPERATIVA DE AHORRO Y CREDITO SAN JORGE LTDA,SEGMENTO 3,2015-05-31,2026-04-30,132,ACTIVA,13.12,2.24,7.69,10.63,17.06,18.79,101.17,-0.87,-5.1,2.09,47.4,1.98,4.91,72.33,1.0,4.0,1.0,5.0,1.0,2.35,BUENO
1790894053001,COOPERATIVA DE AHORRO Y CREDITO SAN JUAN DE COTOGCHOA,SEGMENTO 3,2015-02-28,2026-04-30,135,ACTIVA,22.32,3.38,14.75,18.4,15.16,7.5,111.82,0.03,0.18,2.11,36.64,2.31,5.59,80.16,1.0,3.5,1.0,3.0,1.0,1.925,BUENO
0391008558001,COOPERATIVA DE AHORRO Y CREDITO SAN MARCOS,SEGMENTO 3,2023-06-30,2026-04-30,35,ACTIVA,7.99,1.26,6.15,6.54,15.79,9.14,91.67,0.04,0.28,2.04,25.52,1.73,5.33,94.07,1.0,4.0,1.0,3.0,1.0,2.05,BUENO
1891716385001,COOPERATIVA DE AHORRO Y CREDITO SAN MARTIN DE TISALEO LTDA,SEGMENTO 3,2021-06-30,2026-04-30,59,ACTIVA,21.48,2.31,16.74,17.99,10.76,7.27,104.57,0.05,0.5,3.04,19.62,2.23,8.29,93.05,3.0,3.5,1.0,3.0,3.0,2.725,ADECUADO
0690074397001,COOPERATIVA DE AHORRO Y CREDITO SAN MIGUEL DE PALLATANGA,SEGMENTO 3,2015-02-28,2026-04-30,135,ACTIVA,28.01,5.06,12.31,22.4,18.05,8.99,103.04,0.07,0.36,1.71,63.21,1.35,4.54,54.95,1.0,3.5,1.0,3.0,1.0,1.925,BUENO
0590060437001,COOPERATIVA DE AHORRO Y CREDITO SAN MIGUEL DE SIGCHOS,SEGMENTO 3,2023-06-30,2026-04-30,35,ACTIVA,11.36,1.47,7.86,7.71,12.95,6.92,120.74,0.14,1.09,2.07,37.42,1.62,6.71,101.95,2.0,3.5,1.0,3.0,1.0,2.175,BUENO
0290003180001,COOPERATIVA DE AHORRO Y CREDITO SAN MIGUEL LTDA,SEGMENTO 3,2015-02-28,2026-04-30,98,ACTIVA,15.99,1.4,9.69,13.96,8.77,13.07,83.86,0.05,0.6,1.15,29.26,1.2,10.39,69.44,4.0,4.5,1.0,3.0,1.0,2.925,ADECUADO
0290030099001,COOPERATIVA DE AHORRO Y CREDITO SAN PEDRO LTDA,SEGMENTO 3,2015-02-28,2026-04-30,135,ACTIVA,8.42,3.63,4.71,4.62,43.13,41.56,114.43,0.21,0.49,2.03,62.8,2.21,1.31,101.95,1.0,4.0,1.0,3.0,1.0,2.05,BUENO
1791423275001,COOPERATIVA DE AHORRO Y CREDITO SAN VICENTE DEL SUR,SEGMENTO 3,2015-05-31,2019-05-31,49,ACTIVA,,,,,,,,,,,,,,,,,,,,,
1790896811001,COOPERATIVA DE AHORRO Y CREDITO SANTA ANA DE NAYON,SEGMENTO 3,2015-05-31,2019-03-31,47,ACTIVA,,,,,,,,,,,,,,,,,,,,,
1091708139001,COOPERATIVA DE AHORRO Y CREDITO SANTA ANITA LTDA,SEGMENTO 3,2015-02-28,2026-04-30,135,ACTIVA,20.24,2.32,15.51,14.75,11.46,6.95,96.81,0.01,0.05,2.86,21.93,2.99,7.72,105.12,3.0,4.0,1.0,3.0,2.0,2.7,ADECUADO
1191736423001,COOPERATIVA DE AHORRO Y CREDITO SARAGUROS,SEGMENTO 3,2025-06-30,2026-04-30,11,ACTIVA,8.87,1.01,6.88,6.47,11.35,4.21,199.36,0.97,8.58,2.73,27.85,1.9,7.73,106.4,3.0,2.5,1.0,2.0,1.0,2.025,BUENO
1891725791001,COOPERATIVA DE AHORRO Y CREDITO SEMBRANDO UN NUEVO PAIS EN LIQUIDACION,SEGMENTO 3,2015-02-28,2019-12-31,59,EN LIQUIDACION,,,,,,,,,,,,,,,,,,,,,
1191718905001,COOPERATIVA DE AHORRO Y CREDITO SEMILLA DEL PROGRESO LTDA,SEGMENTO 3,2023-06-30,2024-03-31,10,ACTIVA,,,,,,,,,,,,,,,,,,,,,
0190096076001,COOPERATIVA DE AHORRO Y CREDITO SIDETAMC,SEGMENTO 3,2023-06-30,2026-04-30,35,ACTIVA,6.46,1.0,5.2,5.35,15.41,3.01,137.11,0.21,1.35,2.17,18.0,2.02,5.47,97.22,1.0,2.5,1.0,3.0,3.0,1.975,BUENO
0291500994001,COOPERATIVA DE AHORRO Y CREDITO SIMIATUG LIMITADA,SEGMENTO 3,2024-06-30,2026-04-30,23,ACTIVA,19.03,1.84,12.59,14.07,9.66,3.02,113.15,0.12,1.23,1.8,38.45,1.36,9.34,89.49,3.0,2.5,1.0,3.0,1.0,2.175,BUENO
0691732584001,COOPERATIVA DE AHORRO Y CREDITO SOL DE LOS ANDES LTDA CHIMBORAZO,SEGMENTO 3,2021-06-30,2026-04-30,59,ACTIVA,18.62,1.84,13.92,16.32,9.88,12.32,70.91,-0.18,-1.78,1.95,17.84,2.0,9.14,85.27,3.0,5.0,1.0,4.0,3.0,3.25,ADECUADO
1791935233001,COOPERATIVA DE AHORRO Y CREDITO SUBOFICIALES DE LA POLICIA NACIONAL,SEGMENTO 3,2015-02-28,2019-05-31,52,ACTIVA,,,,,,,,,,,,,,,,,,,,,
0690042495001,COOPERATIVA DE AHORRO Y CREDITO SUMAC LLACTA LTDA,SEGMENTO 3,2023-06-30,2026-04-30,35,ACTIVA,12.06,1.05,8.54,10.64,8.69,12.61,95.78,-0.74,-8.57,1.74,24.95,2.1,10.59,80.28,4.0,4.5,1.0,5.0,2.0,3.375,ADECUADO
0591714236001,COOPERATIVA DE AHORRO Y CREDITO UNIBLOCK Y SERVICIOS LTDA,SEGMENTO 3,2019-06-30,2026-04-30,83,ACTIVA,29.52,2.75,21.06,24.56,9.33,10.9,87.24,0.08,0.86,1.66,22.59,1.06,9.71,85.74,3.0,4.5,1.0,3.0,2.0,2.825,ADECUADO
1791422708001,COOPERATIVA DE AHORRO Y CREDITO UNIDAD Y PROGRESO,SEGMENTO 3,2017-05-31,2026-04-30,108,ACTIVA,21.55,3.72,16.9,16.27,17.25,10.69,116.18,0.36,2.07,2.4,22.9,1.49,4.78,103.89,1.0,4.0,1.0,3.0,2.0,2.2,BUENO
1091728148001,COOPERATIVA DE AHORRO Y CREDITO UNIOTAVALO LTDA,SEGMENTO 3,2020-06-30,2026-04-30,71,ACTIVA,12.19,1.44,8.63,10.38,11.82,25.95,61.35,0.0,0.02,1.0,22.72,1.75,7.46,83.08,3.0,5.0,1.0,3.0,2.0,2.95,ADECUADO
1791708288001,COOPERATIVA DE AHORRO Y CREDITO UNIVERSIDAD CATOLICA DEL ECUADOR,SEGMENTO 3,2017-05-31,2026-04-30,108,ACTIVA,9.51,2.04,4.68,7.21,21.43,7.1,101.27,0.04,0.2,1.42,60.59,1.3,3.66,64.95,1.0,3.5,1.0,3.0,1.0,1.925,BUENO
0990484783001,COOPERATIVA DE AHORRO Y CREDITO UNIVERSIDAD DE GUAYAQUIL LTDA,SEGMENTO 3,2015-02-28,2024-05-31,111,ACTIVA,,,,,,,,,,,,,,,,,,,,,
1191736954001,COOPERATIVA DE AHORRO Y CREDITO VILCABAMBA CACVIL,SEGMENTO 3,2023-06-30,2026-04-30,35,ACTIVA,6.8,1.03,3.82,5.62,15.11,16.0,96.74,-0.6,-3.99,1.55,44.63,2.45,5.66,67.92,1.0,4.5,1.0,5.0,1.0,2.475,BUENO
0190147665001,"COOPERATIVA DE AHORRO Y CRÃDITO SOLIDARIDAD, EMPRENDIMIENTO Y COOPERACIÃN",SEGMENTO 3,2020-06-30,2026-04-30,71,ACTIVA,7.75,0.77,6.37,6.74,9.94,8.59,113.22,-0.03,-0.34,2.05,16.45,1.94,9.07,94.62,3.0,3.5,1.0,4.0,3.0,2.875,ADECUADO
